Subject	Mapping	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Stimulus
101	A	1	950	k	k	1	753	4
101	A	2	800	h	h	1	567	2
101	A	3	950	b	b	1	475	1
101	A	4	500	k	k	1	767	4
101	A	5	1100	l	l	1	379	5
101	A	6	500	h	h	1	687	2
101	A	7	650	b	b	1	590	1
101	A	8	1100	h	h	1	583	2
101	A	9	1100	j	j	1	768	3
101	A	10	500	b	b	1	731	1
101	A	11	800	l	l	1	489	5
101	A	12	650	k	k	1	724	4
101	A	13	950	l	l	1	522	5
101	A	14	1100	b	b	1	593	1
101	A	15	650	k	k	1	647	4
101	A	16	950	h	h	1	703	2
101	A	17	650	j	j	1	870	3
101	A	18	650	l	l	1	493	5
101	A	19	650	j	j	1	794	3
101	A	20	950	k	k	1	580	4
101	A	21	800	j	j	1	909	3
101	A	22	1100	b	b	1	462	1
101	A	23	800	k	k	1	643	4
101	A	24	950	h	h	1	675	2
101	A	25	1100	l	l	1	581	5
101	A	26	800	j	j	1	696	3
101	A	27	1100	h	h	1	518	2
101	A	28	500	j	j	1	621	3
101	A	29	500	h	h	1	577	2
101	A	30	500	l	l	1	576	5
101	A	31	1100	k	k	1	843	4
101	A	32	650	b	b	1	538	1
101	A	33	950	j	j	1	2037	3
101	A	34	800	l	l	1	506	5
101	A	35	950	b	b	1	480	1
101	A	36	1100	k	k	1	726	4
101	A	37	1100	j	j	1	829	3
101	A	38	950	l	l	1	584	5
101	A	39	500	k	k	1	697	4
101	A	40	500	b	b	1	904	1
101	A	41	650	h	h	1	563	2
101	A	42	800	b	b	1	512	1
101	A	43	500	l	l	1	592	5
101	A	44	650	h	h	1	515	2
101	A	45	800	k	k	1	649	4
101	A	46	800	b	b	1	805	1
101	A	47	950	j	j	1	672	3
101	A	48	800	h	h	1	590	2
101	A	49	650	l	l	1	523	5
101	A	50	500	j	j	1	938	3
101	B	1	950	j	j	1	1204	3
101	B	2	800	l	l	1	415	1
101	B	3	800	h	h	1	977	4
101	B	4	650	k	k	1	673	2
101	B	5	500	b	b	1	601	5
101	B	6	800	l	l	1	601	1
101	B	7	650	k	k	1	777	2
101	B	8	500	l	l	1	591	1
101	B	9	500	h	h	1	809	4
101	B	10	950	b	b	1	633	5
101	B	11	1100	j	j	1	612	3
101	B	12	1100	h	h	1	825	4
101	B	13	950	l	l	1	505	1
101	B	14	800	b	b	1	691	5
101	B	15	950	j	j	1	438	3
101	B	16	650	l	l	1	496	1
101	B	17	1100	h	h	1	921	4
101	B	18	500	b	b	1	851	5
101	B	19	500	k	k	1	686	2
101	B	20	950	h	h	1	750	4
101	B	21	500	j	j	1	835	3
101	B	22	1100	k	k	1	593	2
101	B	23	800	j	j	1	1096	3
101	B	24	800	h	h	1	970	4
101	B	25	1100	l	l	1	478	1
101	B	26	500	j	h	0	375	3
101	B	27	650	b	b	1	1147	5
101	B	28	800	k	k	1	709	2
101	B	29	650	j	j	1	571	3
101	B	30	650	b	b	1	710	5
101	B	31	650	j	j	1	779	3
101	B	32	950	k	k	1	616	2
101	B	33	650	h	h	1	635	4
101	B	34	1100	l	l	1	475	1
101	B	35	950	b	b	1	584	5
101	B	36	650	h	h	1	669	4
101	B	37	800	b	b	1	723	5
101	B	38	500	l	l	1	681	1
101	B	39	1100	j	j	1	739	3
101	B	40	1100	k	k	1	632	2
101	B	41	650	l	l	1	459	1
101	B	42	500	k	k	1	755	2
101	B	43	1100	b	b	1	763	5
101	B	44	500	h	h	1	816	4
101	B	45	950	l	l	1	497	1
101	B	46	800	k	k	1	555	2
101	B	47	950	h	h	1	851	4
101	B	48	800	j	j	1	601	3
101	B	49	1100	b	b	1	613	5
101	B	50	950	k	k	1	1608	2
101	C	1	800	j	j	1	2788	3
101	C	2	1100	l	l	1	651	5
101	C	3	950	h	h	1	862	2
101	C	4	500	j	j	1	758	3
101	C	5	500	k	k	1	736	4
101	C	6	950	b	b	1	636	1
101	C	7	650	j	j	1	710	3
101	C	8	950	h	h	1	555	2
101	C	9	650	k	k	1	939	4
101	C	10	1100	b	b	1	548	1
101	C	11	950	l	l	1	539	5
101	C	12	650	k	k	1	944	4
101	C	13	800	l	l	1	587	5
101	C	14	500	b	b	1	492	1
101	C	15	1100	j	k	0	1478	3
101	C	16	1100	h	h	1	968	2
101	C	17	650	b	b	1	543	1
101	C	18	500	h	h	1	886	2
101	C	19	1100	l	l	1	595	5
101	C	20	800	h	h	1	614	2
101	C	21	950	k	k	1	944	4
101	C	22	950	j	j	1	1299	3
101	C	23	800	b	b	1	598	1
101	C	24	800	k	k	1	590	4
101	C	25	650	h	h	1	574	2
101	C	26	500	l	l	1	526	5
101	C	27	800	b	b	1	633	1
101	C	28	650	h	h	1	771	2
101	C	29	500	b	b	1	531	1
101	C	30	500	k	k	1	1025	4
101	C	31	950	l	l	1	440	5
101	C	32	1100	j	j	1	401	3
101	C	33	1100	k	k	1	702	4
101	C	34	950	b	b	1	678	1
101	C	35	800	l	l	1	617	5
101	C	36	950	j	j	1	990	3
101	C	37	650	b	b	1	635	1
101	C	38	1100	k	k	1	737	4
101	C	39	500	l	l	1	577	5
101	C	40	500	h	h	1	712	2
101	C	41	950	k	k	1	829	4
101	C	42	500	j	j	1	1080	3
101	C	43	1100	h	h	1	586	2
101	C	44	800	j	j	1	757	3
101	C	45	800	k	k	1	594	4
101	C	46	1100	b	b	1	558	1
101	C	47	650	l	l	1	510	5
101	C	48	800	h	h	1	664	2
101	C	49	650	j	j	1	813	3
101	C	50	650	l	l	1	893	5
101	D	1	650	b	b	1	569	5
101	D	2	650	j	j	1	635	3
101	D	3	800	k	k	1	811	2
101	D	4	650	b	b	1	538	5
101	D	5	1100	l	l	1	687	1
101	D	6	800	h	h	1	542	4
101	D	7	800	j	j	1	811	3
101	D	8	1100	k	k	1	507	2
101	D	9	500	j	j	1	881	3
101	D	10	950	h	h	1	656	4
101	D	11	500	k	k	1	810	2
101	D	12	500	b	b	1	765	5
101	D	13	1100	h	h	1	565	4
101	D	14	650	l	l	1	606	1
101	D	15	950	j	j	1	1211	3
101	D	16	800	b	b	1	512	5
101	D	17	950	l	l	1	699	1
101	D	18	1100	h	h	1	717	4
101	D	19	1100	j	j	1	998	3
101	D	20	950	b	b	1	530	5
101	D	21	500	h	h	1	730	4
101	D	22	500	l	l	1	579	1
101	D	23	650	k	k	1	560	2
101	D	24	800	l	l	1	862	1
101	D	25	500	b	b	1	749	5
101	D	26	650	k	k	1	650	2
101	D	27	800	h	h	1	856	4
101	D	28	800	l	l	1	611	1
101	D	29	950	j	j	1	669	3
101	D	30	950	h	h	1	560	4
101	D	31	800	k	k	1	698	2
101	D	32	1100	b	b	1	733	5
101	D	33	500	k	k	1	707	2
101	D	34	650	l	l	1	499	1
101	D	35	1100	k	k	1	579	2
101	D	36	1100	j	j	1	1269	3
101	D	37	500	l	l	1	617	1
101	D	38	800	b	b	1	517	5
101	D	39	650	h	h	1	800	4
101	D	40	950	b	b	1	547	5
101	D	41	1100	l	l	1	1008	1
101	D	42	650	h	h	1	611	4
101	D	43	950	k	k	1	594	2
101	D	44	650	j	j	1	819	3
