Subject	Gender	Hand Posture	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Image
301	female	Down	1	950	k	k	1	438	Ring Finger
301	female	Down	2	800	h	h	1	419	Index
301	female	Down	3	500	k	k	1	467	Ring Finger
301	female	Down	4	1100	l	l	1	395	Little Finger
301	female	Down	5	950	b	b	1	360	Thumb
301	female	Down	6	500	h	h	1	339	Index
301	female	Down	7	650	b	b	1	488	Thumb
301	female	Down	8	1100	h	h	1	382	Index
301	female	Down	9	1100	j	j	1	302	Middle Finger
301	female	Down	10	500	b	b	1	478	Thumb
301	female	Down	11	800	l	l	1	299	Little Finger
301	female	Down	12	650	k	k	1	432	Ring Finger
301	female	Down	13	950	l	l	1	445	Little Finger
301	female	Down	14	1100	b	b	1	290	Thumb
301	female	Down	15	650	k	k	1	421	Ring Finger
301	female	Down	16	950	h	h	1	343	Index
301	female	Down	17	650	j	j	1	285	Middle Finger
301	female	Down	18	650	l	l	1	407	Little Finger
301	female	Down	19	650	j	j	1	402	Middle Finger
301	female	Down	20	800	h	h	1	378	Index
301	female	Down	21	650	l	l	1	527	Little Finger
301	female	Down	22	500	j	j	1	517	Middle Finger
301	female	Down	23	950	h	h	1	370	Index
301	female	Down	24	1100	l	l	1	383	Little Finger
301	female	Down	25	800	j	j	1	314	Middle Finger
301	female	Down	26	1100	b	b	1	445	Thumb
301	female	Down	27	800	k	k	1	397	Ring Finger
301	female	Down	28	800	j	j	1	338	Middle Finger
301	female	Down	29	1100	h	h	1	290	Index
301	female	Down	30	500	j	j	1	423	Middle Finger
301	female	Down	31	950	k	k	1	378	Ring Finger
301	female	Down	32	500	h	h	1	346	Index
301	female	Down	33	500	l	l	1	402	Little Finger
301	female	Down	34	1100	k	k	1	303	Ring Finger
301	female	Down	35	650	b	b	1	373	Thumb
301	female	Down	36	950	j	j	1	333	Middle Finger
301	female	Down	37	500	b	b	1	578	Thumb
301	female	Down	38	1100	k	k	1	386	Ring Finger
301	female	Down	39	1100	j	k	0	378	Middle Finger
301	female	Down	40	950	l	l	1	381	Little Finger
301	female	Down	41	950	b	b	1	487	Thumb
301	female	Down	42	500	k	k	1	557	Ring Finger
301	female	Down	43	800	l	l	1	549	Little Finger
301	female	Down	44	650	h	h	1	437	Index
301	female	Down	45	800	b	b	1	437	Thumb
301	female	Down	46	500	l	l	1	440	Little Finger
301	female	Down	47	650	h	h	1	352	Index
301	female	Down	48	950	j	j	1	357	Middle Finger
301	female	Down	49	800	k	k	1	381	Ring Finger
301	female	Down	50	800	b	b	1	376	Thumb
301	female	Up	1	800	k	k	1	366	Ring Finger
301	female	Up	2	650	h	h	1	344	Index
301	female	Up	3	500	l	l	1	384	Little Finger
301	female	Up	4	800	b	b	1	507	Thumb
301	female	Up	5	800	l	l	1	398	Little Finger
301	female	Up	6	500	k	k	1	344	Ring Finger
301	female	Up	7	950	l	l	1	515	Little Finger
301	female	Up	8	1100	j	j	1	374	Middle Finger
301	female	Up	9	1100	k	k	1	342	Ring Finger
301	female	Up	10	500	b	b	1	758	Thumb
301	female	Up	11	500	l	l	1	401	Little Finger
301	female	Up	12	650	h	h	1	401	Index
301	female	Up	13	800	l	l	1	406	Little Finger
301	female	Up	14	500	k	k	1	587	Ring Finger
301	female	Up	15	950	b	b	1	550	Thumb
301	female	Up	16	950	l	l	1	331	Little Finger
301	female	Up	17	1100	j	j	1	409	Middle Finger
301	female	Up	18	500	b	b	1	478	Thumb
301	female	Up	19	500	h	h	1	369	Index
301	female	Up	20	950	k	k	1	312	Ring Finger
301	female	Up	21	500	j	j	1	354	Middle Finger
301	female	Up	22	1100	h	h	1	389	Index
301	female	Up	23	800	j	j	1	373	Middle Finger
301	female	Up	24	1100	b	b	1	442	Thumb
301	female	Up	25	800	j	j	1	429	Middle Finger
301	female	Up	26	1100	l	l	1	368	Little Finger
301	female	Up	27	950	h	h	1	384	Index
301	female	Up	28	500	j	j	1	416	Middle Finger
301	female	Up	29	650	l	l	1	429	Little Finger
301	female	Up	30	800	h	h	1	413	Index
301	female	Up	31	650	j	j	1	376	Middle Finger
301	female	Up	32	650	l	l	1	421	Little Finger
301	female	Up	33	650	j	j	1	434	Middle Finger
301	female	Up	34	950	h	h	1	352	Index
301	female	Up	35	650	k	k	1	656	Ring Finger
301	female	Up	36	1100	b	b	1	528	Thumb
301	female	Up	37	650	k	k	1	515	Ring Finger
301	female	Up	38	1100	h	h	1	517	Index
301	female	Up	39	950	b	b	1	603	Thumb
301	female	Up	40	1100	l	l	1	504	Little Finger
301	female	Up	41	800	h	h	1	347	Index
301	female	Up	42	950	k	k	1	557	Ring Finger
301	female	Up	43	950	j	j	1	443	Middle Finger
301	female	Up	44	650	b	b	1	541	Thumb
301	female	Up	45	1100	k	k	1	669	Ring Finger
301	female	Up	46	800	b	b	1	571	Thumb
301	female	Up	47	800	k	k	1	299	Ring Finger
301	female	Up	48	500	h	h	1	435	Index
301	female	Up	49	950	j	j	1	432	Middle Finger
301	female	Up	50	650	b	b	1	896	Thumb
302	female	Down	1	950	k	k	1	411	Ring Finger
302	female	Down	2	800	h	h	1	419	Index
302	female	Down	3	500	k	k	1	411	Ring Finger
302	female	Down	4	1100	l	l	1	352	Little Finger
302	female	Down	5	950	b	b	1	454	Thumb
302	female	Down	6	500	h	h	1	374	Index
302	female	Down	7	650	b	b	1	475	Thumb
302	female	Down	8	1100	h	h	1	374	Index
302	female	Down	9	1100	j	j	1	414	Middle Finger
302	female	Down	10	500	b	b	1	510	Thumb
302	female	Down	11	800	l	l	1	547	Little Finger
302	female	Down	12	650	k	k	1	323	Ring Finger
302	female	Down	13	950	l	l	1	331	Little Finger
302	female	Down	14	1100	b	b	1	416	Thumb
302	female	Down	15	650	k	k	1	374	Ring Finger
302	female	Down	16	950	h	h	1	344	Index
302	female	Down	17	650	j	j	1	358	Middle Finger
302	female	Down	18	650	l	l	1	350	Little Finger
302	female	Down	19	650	j	h	0	318	Middle Finger
302	female	Down	20	800	h	h	1	454	Index
302	female	Down	21	650	l	l	1	451	Little Finger
302	female	Down	22	500	j	j	1	377	Middle Finger
302	female	Down	23	950	h	h	1	363	Index
302	female	Down	24	1100	l	l	1	369	Little Finger
302	female	Down	25	800	j	j	1	345	Middle Finger
302	female	Down	26	1100	b	b	1	473	Thumb
302	female	Down	27	800	k	k	1	398	Ring Finger
302	female	Down	28	800	j	j	1	414	Middle Finger
302	female	Down	29	1100	h	h	1	406	Index
302	female	Down	30	500	j	j	1	427	Middle Finger
302	female	Down	31	950	k	k	1	393	Ring Finger
302	female	Down	32	500	h	h	1	435	Index
302	female	Down	33	500	l	l	1	358	Little Finger
302	female	Down	34	1100	k	k	1	369	Ring Finger
302	female	Down	35	650	b	b	1	507	Thumb
302	female	Down	36	950	j	j	1	417	Middle Finger
302	female	Down	37	500	b	b	1	617	Thumb
302	female	Down	38	1100	k	k	1	385	Ring Finger
302	female	Down	39	1100	j	j	1	353	Middle Finger
302	female	Down	40	950	l	l	1	358	Little Finger
302	female	Down	41	950	b	b	1	435	Thumb
302	female	Down	42	500	k	k	1	374	Ring Finger
302	female	Down	43	800	l	l	1	377	Little Finger
302	female	Down	44	650	h	h	1	414	Index
302	female	Down	45	800	b	b	1	401	Thumb
302	female	Down	46	500	l	l	1	430	Little Finger
302	female	Down	47	650	h	h	1	342	Index
302	female	Down	48	950	j	j	1	417	Middle Finger
302	female	Down	49	800	k	k	1	414	Ring Finger
302	female	Down	50	800	b	b	1	457	Thumb
302	female	Up	1	800	k	k	1	440	Ring Finger
302	female	Up	2	650	h	h	1	424	Index
302	female	Up	3	500	l	l	1	432	Little Finger
302	female	Up	4	800	b	b	1	392	Thumb
302	female	Up	5	800	l	l	1	584	Little Finger
302	female	Up	6	500	k	k	1	440	Ring Finger
302	female	Up	7	950	l	l	1	525	Little Finger
302	female	Up	8	1100	j	j	1	451	Middle Finger
302	female	Up	9	1100	k	k	1	448	Ring Finger
302	female	Up	10	500	b	b	1	413	Thumb
302	female	Up	11	500	l	l	1	1443	Little Finger
302	female	Up	12	650	h	h	1	661	Index
302	female	Up	13	800	l	l	1	411	Little Finger
302	female	Up	14	500	k	k	1	448	Ring Finger
302	female	Up	15	950	b	b	1	448	Thumb
302	female	Up	16	950	l	l	1	424	Little Finger
302	female	Up	17	1100	j	j	1	400	Middle Finger
302	female	Up	18	500	b	b	1	523	Thumb
302	female	Up	19	500	h	h	1	464	Index
302	female	Up	20	950	k	k	1	483	Ring Finger
302	female	Up	21	500	j	j	1	376	Middle Finger
302	female	Up	22	1100	h	h	1	479	Index
302	female	Up	23	800	j	j	1	460	Middle Finger
302	female	Up	24	1100	b	b	1	381	Thumb
302	female	Up	25	800	j	j	1	546	Middle Finger
302	female	Up	26	1100	l	l	1	466	Little Finger
302	female	Up	27	950	h	h	1	381	Index
302	female	Up	28	500	j	j	1	365	Middle Finger
302	female	Up	29	650	l	l	1	839	Little Finger
302	female	Up	30	800	h	h	1	372	Index
302	female	Up	31	650	j	j	1	367	Middle Finger
302	female	Up	32	650	l	l	1	426	Little Finger
302	female	Up	33	650	j	j	1	439	Middle Finger
302	female	Up	34	950	h	h	1	341	Index
302	female	Up	35	650	k	k	1	482	Ring Finger
302	female	Up	36	1100	b	b	1	415	Thumb
302	female	Up	37	650	k	k	1	485	Ring Finger
302	female	Up	38	1100	h	h	1	458	Index
302	female	Up	39	950	b	b	1	413	Thumb
302	female	Up	40	1100	l	l	1	570	Little Finger
302	female	Up	41	800	h	h	1	386	Index
302	female	Up	42	950	k	k	1	517	Ring Finger
302	female	Up	43	950	j	j	1	386	Middle Finger
302	female	Up	44	650	b	b	1	399	Thumb
302	female	Up	45	1100	k	k	1	434	Ring Finger
302	female	Up	46	800	b	b	1	506	Thumb
302	female	Up	47	800	k	k	1	540	Ring Finger
302	female	Up	48	500	h	h	1	405	Index
302	female	Up	49	950	j	j	1	421	Middle Finger
302	female	Up	50	650	b	b	1	442	Thumb
303	female	Down	1	950	k	k	1	521	Ring Finger
303	female	Down	2	800	h	h	1	521	Index
303	female	Down	3	500	k	k	1	510	Ring Finger
303	female	Down	4	1100	l	l	1	497	Little Finger
303	female	Down	5	950	b	b	1	436	Thumb
